userId,interactionType,objectName,startTimestamp,endTimestamp,errorCount
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.56,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.56,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.56,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.56,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.56,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.56,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.56,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.56,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.56,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.56,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.56,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.56,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.56,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.56,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.56,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.56,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.56,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.56,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.56,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.56,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.56,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.56,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.56,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.56,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.56,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.56,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.56,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.56,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.56,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.56,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.56,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.56,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.56,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.56,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.56,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.56,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.56,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.56,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.56,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.56,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.56,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.56,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.56,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.56,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.56,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.56,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.56,254
userId,interactionType,objectName,startTimestamp,endTimestamp,errorCount
2,RAYCASTING,ObjectCategory_1_Number_9,2.060139,21.74,6
2,RAYCASTING,ObjectCategory_9_Number_17,21.74,23.88,7
2,RAYCASTING,ObjectCategory_4_Number_30,23.88,25.92,7
2,RAYCASTING,ObjectCategory_5_Number_83,25.92,27.4,8
2,RAYCASTING,ObjectCategory_6_Number_48,27.4,30.28,13
2,RAYCASTING,ObjectCategory_4_Number_35,30.28,32.86,7
2,RAYCASTING,ObjectCategory_2_Number_67,32.86,46.54,7
2,RAYCASTING,ObjectCategory_2_Number_27,46.54,47.58,7
2,RAYCASTING,ObjectCategory_5_Number_47,47.58,49.32,5
2,RAYCASTING,ObjectCategory_9_Number_6,49.32,51.04,5
2,RAYCASTING,ObjectCategory_0_Number_61,51.04,52.04,6
2,RAYCASTING,ObjectCategory_3_Number_104,52.04,140.7,250
2,RAYCASTING,ObjectCategory_5_Number_115,140.7,144.08,6
2,RAYCASTING,ObjectCategory_7_Number_72,144.08,184.12,10
2,RAYCASTING,ObjectCategory_5_Number_44,184.12,222.18,7
2,RAYCASTING,ObjectCategory_8_Number_57,222.18,277.46,24
2,RAYCASTING,ObjectCategory_3_Number_104,277.46,299.54,9
2,RAYCASTING,ObjectCategory_2_Number_65,299.54,300.32,7
2,RAYCASTING,ObjectCategory_0_Number_76,300.32,316.82,95
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.58,254
userId,interactionType,objectName,startTimestamp,endTimestamp,errorCount
2,RAYCASTING,ObjectCategory_1_Number_9,2.060139,21.74,6
2,RAYCASTING,ObjectCategory_9_Number_17,21.74,23.88,7
2,RAYCASTING,ObjectCategory_4_Number_30,23.88,25.92,7
2,RAYCASTING,ObjectCategory_5_Number_83,25.92,27.4,8
2,RAYCASTING,ObjectCategory_6_Number_48,27.4,30.28,13
2,RAYCASTING,ObjectCategory_4_Number_35,30.28,32.86,7
2,RAYCASTING,ObjectCategory_2_Number_67,32.86,46.54,7
2,RAYCASTING,ObjectCategory_2_Number_27,46.54,47.58,7
2,RAYCASTING,ObjectCategory_5_Number_47,47.58,49.32,5
2,RAYCASTING,ObjectCategory_9_Number_6,49.32,51.04,5
2,RAYCASTING,ObjectCategory_0_Number_61,51.04,52.04,6
2,RAYCASTING,ObjectCategory_3_Number_104,52.04,140.7,250
2,RAYCASTING,ObjectCategory_5_Number_115,140.7,144.08,6
2,RAYCASTING,ObjectCategory_7_Number_72,144.08,184.12,10
2,RAYCASTING,ObjectCategory_5_Number_44,184.12,222.18,7
2,RAYCASTING,ObjectCategory_8_Number_57,222.18,277.46,24
2,RAYCASTING,ObjectCategory_3_Number_104,277.46,299.54,9
2,RAYCASTING,ObjectCategory_2_Number_65,299.54,300.32,7
2,RAYCASTING,ObjectCategory_0_Number_76,300.32,316.82,95
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.6,254
userId,interactionType,objectName,startTimestamp,endTimestamp,errorCount
2,RAYCASTING,ObjectCategory_1_Number_9,2.060139,21.74,6
2,RAYCASTING,ObjectCategory_9_Number_17,21.74,23.88,7
2,RAYCASTING,ObjectCategory_4_Number_30,23.88,25.92,7
2,RAYCASTING,ObjectCategory_5_Number_83,25.92,27.4,8
2,RAYCASTING,ObjectCategory_6_Number_48,27.4,30.28,13
2,RAYCASTING,ObjectCategory_4_Number_35,30.28,32.86,7
2,RAYCASTING,ObjectCategory_2_Number_67,32.86,46.54,7
2,RAYCASTING,ObjectCategory_2_Number_27,46.54,47.58,7
2,RAYCASTING,ObjectCategory_5_Number_47,47.58,49.32,5
2,RAYCASTING,ObjectCategory_9_Number_6,49.32,51.04,5
2,RAYCASTING,ObjectCategory_0_Number_61,51.04,52.04,6
2,RAYCASTING,ObjectCategory_3_Number_104,52.04,140.7,250
2,RAYCASTING,ObjectCategory_5_Number_115,140.7,144.08,6
2,RAYCASTING,ObjectCategory_7_Number_72,144.08,184.12,10
2,RAYCASTING,ObjectCategory_5_Number_44,184.12,222.18,7
2,RAYCASTING,ObjectCategory_8_Number_57,222.18,277.46,24
2,RAYCASTING,ObjectCategory_3_Number_104,277.46,299.54,9
2,RAYCASTING,ObjectCategory_2_Number_65,299.54,300.32,7
2,RAYCASTING,ObjectCategory_0_Number_76,300.32,316.82,95
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.62,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.62,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.62,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.62,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.62,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.62,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.62,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.62,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.62,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.62,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.62,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.62,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.62,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.62,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.62,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.62,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.62,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.62,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.62,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.62,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.62,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.62,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.62,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.62,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.62,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.62,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.62,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.62,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.62,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.62,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.62,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.62,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.62,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.62,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.62,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.62,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.62,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.62,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.62,254
2,RAYCASTING,ObjectCategory_2_Number_65,316.82,499.62,254
